Домашняя команда,Гостевая команда,Дата,Стадион,Город,home_score,guest_score
Арсенал,Брентфорд,11.02.2023,Эмирейтс - Эшбертон Гроув,Лондон,1,1
Кристал,Пэлас,11.02.2023,Селхерст Парк,Лондон,1,1
Фулхэм,Ноттингем,11.02.2023,Крэйвен Коттедж,Лондон,2,0
Лестер,Сити,11.02.2023,Кинг Пауэр,Лестер,4,1
Саутгемптон,Вулверхэмптон,11.02.2023,Сент-Мэри,Саутгемптон,1,2
Борнмут,Ньюкасл,11.02.2023,Виталити - Дин Корт,Борнмут,1,1
Лидс,Юнайтед,12.02.2023,Элланд Роуд,Лидс,0,2
Манчестер,Сити,12.02.2023,Этихад (Сити оф Манчестер),Манчестер,3,1
Ливерпуль,Эвертон,13.02.2023,Энфилд,Ливерпуль,2,0
Арсенал,Манчестер,15.02.2023,Эмирейтс - Эшбертон Гроув,Лондон,1,3
Астон,Вилла,18.02.2023,Вилла Парк,Бирмингем,2,4
Брентфорд,Кристал,18.02.2023,Брентфорд Коммьюнити,Брентфорд,1,1
Брайтон,Хоув,18.02.2023,Фалмер - Зе Амекс,Брайтон энд Хоув,0,1
Челси,Саутгемптон,18.02.2023,Стэмфорд Бридж,Лондон,0,1
Эвертон,Лидс,18.02.2023,Гудисон Парк,Ливерпуль,1,0
Ноттингем,Форест,18.02.2023,Сити Граунд,Ноттингем,1,1
Вулверхэмптон,Борнмут,18.02.2023,Молине,Вулверхэмптон,0,1
Ньюкасл,Юнайтед,18.02.2023,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,0,2
Манчестер,Юнайтед,19.02.2023,Олд Траффорд,Манчестер,3,0
Тоттенхэм,Хотспур,19.02.2023,Тоттенхэм Хотспур,Лондон,2,0
Фулхэм,Вулверхэмптон,24.02.2023,Крэйвен Коттедж,Лондон,1,1
Эвертон,Астон,25.02.2023,Гудисон Парк,Ливерпуль,0,2
Лидс,Юнайтед,25.02.2023,Элланд Роуд,Лидс,1,0
Лестер,Сити,25.02.2023,Кинг Пауэр,Лестер,0,1
Вест,Хэм,25.02.2023,Олимпийский,Лондон,4,0
Борнмут,Манчестер,25.02.2023,Виталити - Дин Корт,Борнмут,1,4
Кристал,Пэлас,25.02.2023,Селхерст Парк,Лондон,0,0
Тоттенхэм,Хотспур,26.02.2023,Тоттенхэм Хотспур,Лондон,2,0
Арсенал,Эвертон,01.03.2023,Эмирейтс - Эшбертон Гроув,Лондон,4,0
Ливерпуль,Вулверхэмптон,01.03.2023,Энфилд,Ливерпуль,2,0
Манчестер,Сити,04.03.2023,Этихад (Сити оф Манчестер),Манчестер,2,0
